asset_id,timestamp,temperature_C,vibration_mm_s,oil_quality_index,runtime_hours,is_anomaly
Gearbox_1,2025-07-01 00:00:00,57.38,1.018,96.6,0.7,0
Gearbox_1,2025-07-01 01:00:00,60.44,1.185,93.6,0.3,0
Gearbox_1,2025-07-01 02:00:00,51.64,1.124,94.4,0.6,0
Gearbox_1,2025-07-01 03:00:00,56.69,1.095,95.1,2.1,0
Gearbox_1,2025-07-01 04:00:00,49.18,1.358,97.3,4.3,0
Gearbox_1,2025-07-01 05:00:00,54.76,1.22,93.8,2.8,0
Gearbox_1,2025-07-01 06:00:00,60.75,1.461,98.7,5.0,0
Gearbox_1,2025-07-01 07:00:00,62.39,0.713,94.8,7.5,0
Gearbox_1,2025-07-01 08:00:00,55.1,1.087,99.8,8.5,0
Gearbox_1,2025-07-01 09:00:00,56.65,1.023,97.6,9.1,0
Gearbox_1,2025-07-01 10:00:00,55.74,1.42,97.6,8.8,0
Gearbox_1,2025-07-01 11:00:00,56.53,1.204,97.5,9.9,0
Gearbox_1,2025-07-01 12:00:00,54.39,1.76,97.3,11.5,0
Gearbox_1,2025-07-01 13:00:00,57.88,1.121,101.4,10.1,0
Gearbox_1,2025-07-01 14:00:00,52.74,1.5,98.4,13.9,0
Gearbox_1,2025-07-01 15:00:00,67.86,0.753,96.0,15.9,0
Gearbox_1,2025-07-01 16:00:00,58.31,0.778,99.8,13.7,0
Gearbox_1,2025-07-01 17:00:00,52.46,0.537,97.3,18.2,0
Gearbox_1,2025-07-01 18:00:00,52.06,1.188,97.6,16.1,0
Gearbox_1,2025-07-01 19:00:00,54.79,1.753,97.9,19.4,0
Gearbox_1,2025-07-01 20:00:00,54.31,1.388,100.4,21.7,0
Gearbox_1,2025-07-01 21:00:00,59.54,1.105,99.6,20.9,0
Gearbox_1,2025-07-01 22:00:00,60.17,1.022,98.3,20.4,0
Gearbox_1,2025-07-01 23:00:00,51.18,1.175,94.8,21.7,0
Gearbox_1,2025-07-02 00:00:00,52.96,1.491,98.8,24.1,0
